Any / Año;Codi_província / Código_provincia;Província / Provincia;Codi_municipi / Código_municipio;Municipi / Municipio;Registre / Registro;Centre / Centro;Codi_tipus_centre / Código_tipo_centro;Tipus_centre / Tipo_centro;Codi_dependència_funcional / Código_dependéncia_funcional;Dependència_funcional / Dependencia_funcional;Codi_règim / Código_régimen;Règim /Régimen;Adreça / Dirección
2021;46;VALENCIA;169;MISLATA;456;CENTRO DE RECONOCIMIENTO DE CONDUCTORES SERMESA MISLATA;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE EMPARRADO  3
2021;12;CASTELLÓN;138;VINAROS;457;UNIDAD DE SALUD SEXUAL Y REPRODUCTIVA DE VINARÒS;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE DE L'ARXIPRESTE BONO 22
2021;46;VALENCIA;254;VENTA DEL MORO;459;CONSULTORIO AUXILIAR DE VENTA DEL MORO;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE SAN ISIDRO-(VENTA DEL MORO)  5
2021;3 ;ALICANTE;900;ALCOY/ALCOI;461;C.R.C. CLÍNICA MARIOLA;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE BISBE ORBERA  12
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;464;CENTRO ASISTENCIAL MUTUAL MIDAT CYCLOPS (MATEPSS Nº 1);C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE VALL DE UXO  53 -55
2021;46;VALENCIA;270;ALFARRASI;468;CONSULTORIO DE ATENCIÓN PRIMARIA DE  ALFARRASÍ;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE LEPANTO  4
2021;12;CASTELLÓN;490;COSTUR;469;CONSULTORIO AUXILIAR DE COSTUR;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PLAZA MAYOR  S/N
2021;46;VALENCIA;250;VALÈNCIA;471;CENTRO ASISTENCIAL UMIVALE VALENCIA- COLÓN;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE COLON  82
2021;46;VALENCIA;221;SALEM;475;CONSULTORIO AUXILIAR DE SALEM;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PLAZA DE LA PAU  1
2021;46;VALENCIA;220;SAGUNTO/SAGUNT;476;SERV. DE PREV. ARCELOR PLANOS DE SAGUNTO S.L.;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;CTRA CARRETERA DE ACCESO IV PLANTA, KM 3,9 S/N
2021;46;VALENCIA;142;JALANCE;478;CONSULTORIO AUXILIAR DE JALANCE;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ISABEL LA CATOLICA  10
2021;3 ;ALICANTE;650;ELCHE/ELX;479;MEDITERRÁNEA P.V., S.L.;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE MEDICO DIEGO NAVARRO  4 BAJO
2021;46;VALENCIA;400;ANTELLA;480;CONSULTORIO AUXILIAR DE ANTELLA;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE LEOPOLDO ORTIZ SANCHIS  10
